text	id	label
Mi nombre es Benjamín Ramírez González, con DNI 17706490N	1	[{"end": 38, "labels": ["NAME"], "start": 13, "text": "Benjamín Ramírez González"}, {"end": 56, "labels": ["DNI"], "start": 48, "text": "17706490N"}]
Mi nombre es Benjamín Ramírez González, con DNI 17706490N	0	[{"end": 38, "labels": ["NAME"], "start": 13, "text": "Benjamín Ramírez González"}, {"end": 56, "labels": ["DNI"], "start": 48, "text": "17706490N"}]
Mi nombre es Benjamín Ramírez González, con DNI 17706490N	1	[{"end": 38, "labels": ["NAME"], "start": 13, "text": "Benjamín Ramírez González"}, {"end": 56, "labels": ["DNI"], "start": 48, "text": "17706490N"}]
Mi nombre es Benjamín Ramírez González, con DNI 17706490N	0	[{"end": 38, "labels": ["NAME"], "start": 13, "text": "Benjamín Ramírez González"}, {"end": 56, "labels": ["DNI"], "start": 48, "text": "17706490N"}]
Mi nombre es Benjamín Ramírez González, con DNI 17706490N	1	[{"end": 38, "labels": ["NAME"], "start": 13, "text": "Benjamín Ramírez González"}, {"end": 56, "labels": ["DNI"], "start": 48, "text": "17706490N"}]
Mi nombre es Benjamín Ramírez González, con DNI 17706490N	0	[{"end": 38, "labels": ["NAME"], "start": 13, "text": "Benjamín Ramírez González"}, {"end": 56, "labels": ["DNI"], "start": 48, "text": "17706490N"}]
Mi nombre es Benjamín Ramírez González, con DNI 17706490N	1	[{"end": 38, "labels": ["NAME"], "start": 13, "text": "Benjamín Ramírez González"}, {"end": 56, "labels": ["DNI"], "start": 48, "text": "17706490N"}]
Mi nombre es Benjamín Ramírez González, con DNI 17706490N	0	[{"end": 38, "labels": ["NAME"], "start": 13, "text": "Benjamín Ramírez González"}, {"end": 56, "labels": ["DNI"], "start": 48, "text": "17706490N"}]
Mi nombre es Benjamín Ramírez González, con DNI 17706490N	1	[{"end": 38, "labels": ["NAME"], "start": 13, "text": "Benjamín Ramírez González"}, {"end": 56, "labels": ["DNI"], "start": 48, "text": "17706490N"}]
Mi nombre es Benjamín Ramírez González, con DNI 17706490N	1	[{"end": 38, "labels": ["NAME"], "start": 13, "text": "Benjamín Ramírez González"}, {"end": 56, "labels": ["DNI"], "start": 48, "text": "17706490N"}]
Mi nombre es Benjamín Ramírez González, con DNI 17706490N	0	[{"end": 38, "labels": ["NAME"], "start": 13, "text": "Benjamín Ramírez González"}, {"end": 56, "labels": ["DNI"], "start": 48, "text": "17706490N"}]
Mi nombre es Benjamín Ramírez González, con DNI 17706490N	1	[{"end": 38, "labels": ["NAME"], "start": 13, "text": "Benjamín Ramírez González"}, {"end": 56, "labels": ["DNI"], "start": 48, "text": "17706490N"}]
Mi nombre es Benjamín Ramírez González, con DNI 17706490N	0	[{"end": 38, "labels": ["NAME"], "start": 13, "text": "Benjamín Ramírez González"}, {"end": 56, "labels": ["DNI"], "start": 48, "text": "17706490N"}]
Mi nombre es Benjamín Ramírez González, con DNI 17706490N	1	[{"end": 38, "labels": ["NAME"], "start": 13, "text": "Benjamín Ramírez González"}, {"end": 56, "labels": ["DNI"], "start": 48, "text": "17706490N"}]
Mi nombre es Benjamín Ramírez González, con DNI 17706490N	0	[{"end": 38, "labels": ["NAME"], "start": 13, "text": "Benjamín Ramírez González"}, {"end": 56, "labels": ["DNI"], "start": 48, "text": "17706490N"}]
Mi nombre es Benjamín Ramírez González, con DNI 17706490N	1	[{"end": 38, "labels": ["NAME"], "start": 13, "text": "Benjamín Ramírez González"}, {"end": 56, "labels": ["DNI"], "start": 48, "text": "17706490N"}]
